"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Feb 22 18:41:14 GMT 2024","Thu Feb 22 18:41:14 GMT 2024","48","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
"passed","Thu Feb 22 18:41:16 GMT 2024","Thu Feb 22 18:41:17 GMT 2024","1083","test","test_hootel","TestHootel","","","test_hotel_list",""
