"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 22 18:55:21 GMT 2024","Thu Feb 22 18:55:23 GMT 2024","1354","test","test_hootel","TestHootel","","","test_hotel_list",""
"broken","Thu Feb 22 18:55:14 GMT 2024","Thu Feb 22 18:55:19 GMT 2024","5253","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
