"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 22 18:57:39 GMT 2024","Thu Feb 22 18:57:40 GMT 2024","1063","test","test_hootel","TestHootel","","","test_hotel_list",""
"passed","Thu Feb 22 18:57:35 GMT 2024","Thu Feb 22 18:57:37 GMT 2024","1867","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
